Rust,519241,"8 Feb, 2018","Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, Sandbox, PvP, Adventure, First-Person, Action, FPS, Nudity, Co-op, Shooter, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation"
Tribes of Midgard,2301,"27 Jul, 2021","Action, Tower Defense, Roguelike, Indie, Roguelite, Adventure, Co-op, Crafting, Vikings, Online Co-Op, Multiplayer, RPG, Procedural Generation, Survival, Action Roguelike, Open World, Isometric, Hack and Slash, Action RPG, Singleplayer"
ARK: Survival Evolved,360268,"27 Aug, 2017","Open World Survival Craft, Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie"
Days Gone,11394,"17 May, 2021","Open World, Post-apocalyptic, Zombies, Singleplayer, Survival, Action, Action-Adventure, Third Person, Adventure, Multiplayer, Horror, Motorbike, Survival Horror, Open World Survival Craft, Crafting, Cinematic, Story Rich, Third-Person Shooter, Gore, Violent"
Valheim,222839,"2 Feb, 2021","Open World Survival Craft, Online Co-Op, Survival, Open World, Crafting, Building, Multiplayer, Exploration, Co-op, Base Building, Sandbox, Mythology, Adventure, Sailing, RPG, Early Access, Action, Indie, PvP, Fishing"
Raft,110475,"23 May, 2018","Survival, Open World Survival Craft, Multiplayer, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, Early Access, First-Person, Singleplayer, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer"
New World,,"31 Aug, 2021","Massively Multiplayer, Adventure, RPG, Action, MMORPG, Open World, PvE, PvP, Fantasy, Multiplayer, Third Person, Character Customization, Violent, Sandbox, Souls-like, Open World Survival Craft, Crafting, Co-op, Walking Simulator, Sexual Content"
Stardew Valley,315552,"26 Feb, 2016","Farming Sim, Life Sim, RPG, Pixel Graphics, Agriculture, Multiplayer, Simulation, Relaxing, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Great Soundtrack, Cute, Dating Sim, Fishing"
The Forest,249616,"30 Apr, 2018","Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Atmospheric, Simulation, Singleplayer, Indie, Realistic, Gore, Early Access, Zombies"
Chernobylite,3339,"28 Jul, 2021","RPG, Survival, Adventure, Post-apocalyptic, Horror, Atmospheric, Simulation, Exploration, Survival Horror, Sci-fi, First-Person, Singleplayer, Stealth, Action-Adventure, Base Building, Realistic, Crafting, Nonlinear, Supernatural, Indie"
